AccountType,EventID,TimeGenerated_unix,Account,Computer,Task
Unknown,4771,1789468977,Account434,10.168.5.38,14339
Machine,4799,1789467716,Account147,10.168.5.39,13826
User,5145,1789461855,Account363,10.235.9.125,12811
Machine,4624,1789476892,Account276,10.168.5.66,12544
Machine,4663,1789483290,Account317,10.168.5.153,12812
Unknown,4776,1789468105,Account127,10.235.9.167,14336
Machine,6427,1789470363,Account29,10.235.9.202,12555
Unknown,5379,1789484321,Account59,10.168.5.48,13824
Unknown,4957,1789460515,Account33,10.6.6.90,13571
User,4663,1789037103,Account427,10.235.9.183,12812
Machine,4611,1789463226,Account4,10.235.9.108,12289
Machine,5059,1789470014,Account290,10.6.6.26,12292
Unknown,4778,1789472309,Account251,10.235.9.148,12551
Machine,4688,1789469923,Account161,10.235.9.170,13312
User,4768,1789464908,Account569,10.235.9.236,14339
Machine,4656,1789466213,Account49,10.168.5.80,12800
Unknown,5158,1789467941,Account496,10.168.5.18,12810
User,4797,1789470199,Account108,10.168.5.26,13824
Machine,5058,1789472902,Account9,10.235.9.171,12292
Unknown,6427,1789460361,Account164,10.24.2.143,12555
Machine,5140,1789472213,Account447,10.235.9.78,12808
Unknown,5158,1789461456,Account588,10.24.2.134,12810
User,5449,1789462433,Account202,10.235.9.107,13572
Machine,4648,1789473394,Account34,10.235.9.126,12544
User,4673,1789471866,Account239,10.6.6.88,13056
Machine,4625,1789473605,Account464,10.6.6.38,12544
Machine,4670,1789474644,Account678,10.235.9.174,13570
Machine,4611,1789476440,Account330,10.168.5.53,12289
Unknown,4769,1789468408,Account385,10.168.5.219,14337
Machine,4673,1789482508,Account215,10.6.6.3,13056
Machine,5059,1789481333,Account692,10.24.2.174,12292
User,5145,1789138774,Account296,10.168.5.58,12811
User,4656,1789470818,Account302,10.24.2.149,12800
Machine,4634,1789470440,Account360,10.168.5.168,12545
Unknown,4770,1789463513,Account279,10.6.6.24,14337
Unknown,4660,1789471862,Account404,10.235.9.151,12800
Unknown,4662,1789468644,Account648,10.235.9.235,14080
Unknown,6416,1789466323,Account469,10.6.6.60,13316
User,5061,1789463924,Account173,10.235.9.54,12290
Unknown,4946,1789455882,Account674,10.168.5.167,13571
User,4779,1789472607,Account42,10.168.5.16,12551
Machine,4799,1789469294,Account11,10.168.5.153,13826
Unknown,4797,1789466964,Account13,10.24.2.204,13824
Unknown,4738,1789467341,Account545,10.24.2.124,13824
User,4634,1789225234,Account530,10.6.6.43,12545
Machine,4697,1789475545,Account679,10.168.5.166,12289
Unknown,4771,1789461535,Account603,10.168.5.186,14339
Unknown,4770,1789463529,Account290,10.235.9.147,14337
User,4768,1789478757,Account60,10.168.5.28,14339
Machine,4624,1789464123,Account206,10.24.2.122,12544
Unknown,4771,1789467470,Account583,10.24.2.90,14339
User,4663,1789077965,Account279,10.235.9.116,12812
Unknown,4778,1789472098,Account599,10.168.5.115,12551
User,4742,1789469913,Account646,10.235.9.48,13825
Unknown,4948,1789468736,Account595,10.6.6.64,13571
Machine,4798,1789470207,Account464,10.168.5.234,13824
Machine,5140,1789473129,Account320,10.24.2.130,12808
Machine,4702,1789470257,Account375,10.6.6.71,12804
Machine,4768,1789469845,Account663,10.168.5.201,14339
Machine,5059,1789478297,Account19,10.168.5.25,12292
Machine,4799,1789475746,Account516,10.235.9.74,13826
User,4797,1788928342,Account483,10.24.2.198,13824
User,4768,1789462341,Account337,10.168.5.33,14339
Machine,4624,1789473301,Account594,10.235.9.116,12544
Unknown,4625,1789472181,Account29,10.6.6.37,12544
Machine,4662,1789463765,Account106,10.235.9.140,14080
User,4797,1788995621,Account229,10.24.2.185,13824
User,6416,1789457359,Account549,10.235.9.240,13316
User,5145,1789012910,Account359,10.168.5.69,12811
User,4697,1789466690,Account565,10.24.2.92,12289
Machine,4799,1789471969,Account671,10.235.9.136,13826
Unknown,4660,1789462258,Account653,10.24.2.111,12800
User,4662,1789471196,Account690,10.24.2.164,14080
Machine,4611,1789480401,Account355,10.24.2.113,12289
Unknown,5058,1789470902,Account203,10.24.2.117,12292
Unknown,4728,1789460700,Account607,10.24.2.177,13826
Machine,4697,1789476803,Account355,10.168.5.224,12289
Machine,4647,1789473527,Account338,10.24.2.215,12545
Unknown,6427,1789464500,Account197,10.24.2.246,12555
Machine,4648,1789480740,Account121,10.24.2.122,12544
Unknown,4660,1789464076,Account22,10.168.5.35,12800
Unknown,4674,1789472685,Account56,10.168.5.64,13056
Machine,5136,1789478049,Account568,10.235.9.185,14081
User,5145,1789473065,Account255,10.6.6.89,12811
User,4702,1789472786,Account309,10.235.9.72,12804
Unknown,5061,1789466514,Account615,10.235.9.92,12290
Unknown,4660,1789464433,Account157,10.6.6.22,12800
Unknown,4770,1789463304,Account298,10.24.2.175,14337
Unknown,4624,1789475450,Account492,10.235.9.221,12544
User,4663,1789104425,Account497,10.168.5.169,12812
Unknown,5156,1789479838,Account395,10.235.9.87,12810
Machine,4648,1789476855,Account574,10.6.6.65,12544
Unknown,5158,1789482619,Account205,10.235.9.246,12810
Machine,4738,1789467598,Account311,10.6.6.20,13824
Machine,6416,1789475033,Account459,10.235.9.149,13316
Machine,4724,1789466152,Account57,10.168.5.83,13824
Unknown,4771,1789480788,Account631,10.168.5.115,14339
Unknown,4801,1789468228,Account601,10.24.2.210,12551
Machine,4701,1789477773,Account197,10.24.2.215,12804
Machine,4724,1789471036,Account282,10.168.5.23,13824
User,4625,1789472946,Account60,10.235.9.61,12544
Machine,4662,1789472537,Account638,10.6.6.61,14080
User,4701,1789475972,Account404,10.235.9.195,12804
Machine,4768,1789467997,Account398,10.168.5.236,14339
Machine,4670,1789478849,Account71,10.168.5.183,13570
User,4673,1789472913,Account179,10.24.2.231,13056
User,4656,1788862804,Account188,10.235.9.78,12800
Unknown,4769,1789468020,Account220,10.24.2.86,14337
Unknown,5058,1789464492,Account670,10.6.6.80,12292
Unknown,4957,1789468248,Account482,10.168.5.109,13571
Machine,5140,1789474297,Account56,10.24.2.186,12808
Unknown,4660,1789462042,Account513,10.168.5.149,12800
User,4634,1789468831,Account503,10.168.5.162,12545
User,4663,1789142613,Account260,10.24.2.95,12812
Machine,5059,1789478429,Account76,10.24.2.107,12292
Unknown,4778,1789470663,Account314,10.168.5.225,12551
Machine,4634,1789464137,Account28,10.235.9.86,12545
User,5158,1789468855,Account261,10.235.9.158,12810
User,4656,1789465338,Account476,10.24.2.205,12800
Unknown,4627,1789476654,Account379,10.235.9.173,12554
Unknown,5158,1789473925,Account532,10.24.2.175,12810
Machine,4771,1789481591,Account305,10.168.5.24,14339
Machine,4624,1789475575,Account19,10.24.2.133,12544
Machine,4776,1789484230,Account87,10.235.9.225,14336
User,4663,1789464275,Account646,10.235.9.114,12812
Unknown,4798,1789469121,Account180,10.168.5.107,13824
Machine,4648,1789483948,Account443,10.6.6.26,12544
Machine,4702,1789472758,Account315,10.6.6.25,12804
Unknown,4957,1789462115,Account158,10.235.9.110,13571
User,4634,1789467535,Account695,10.168.5.29,12545
Machine,4670,1789474779,Account25,10.6.6.18,13570
Machine,6416,1789466722,Account523,10.24.2.130,13316
Unknown,5449,1789464926,Account238,10.168.5.197,13572
User,4625,1789198394,Account357,10.235.9.184,12544
User,4673,1789468682,Account280,10.24.2.243,13056
User,4798,1789480054,Account673,10.168.5.163,13824
Unknown,4769,1789466516,Account510,10.168.5.174,14337
Machine,4738,1789472077,Account594,10.168.5.140,13824
Machine,4948,1789463341,Account5,10.24.2.164,13571
Machine,4670,1789455836,Account253,10.235.9.103,13570
Machine,5145,1789475280,Account656,10.235.9.102,12811
Unknown,5156,1789468775,Account391,10.24.2.139,12810
Unknown,4778,1789462873,Account652,10.6.6.43,12551
Machine,4688,1789471153,Account171,10.168.5.51,13312
Unknown,5156,1789466298,Account285,10.235.9.98,12810
